(27,"27")
(173,"173")
(187,"187")
(263,"263")
(315,"315")
(321,"321")
(347,"347")
(533,"533")
(718,"718")
(783,"783")
(813,"813")
(834,"834")
(979,"979")
(1106,"1106")
(1169,"1169")
(1172,"1172")
(1228,"1228")
(1263,"1263")
(1333,"1333")
(1446,"1446")
(1592,"1592")
(1804,"1804")
(1923,"1923")
(1988,"1988")
(2096,"2096")
(2101,"2101")
(2318,"2318")
(2740,"2740")
(2752,"2752")
(2811,"2811")
(2853,"2853")
(2928,"2928")
(3064,"3064")
(3071,"3071")
(3260,"3260")
(3371,"3371")
(3387,"3387")
(3423,"3423")
(3473,"3473")
(3528,"3528")
(3596,"3596")
(3636,"3636")
(3666,"3666")
(3723,"3723")
(3924,"3924")
(3973,"3973")
(4084,"4084")
(4201,"4201")
(4325,"4325")
(4397,"4397")
(4424,"4424")
(4490,"4490")
(4582,"4582")
(4597,"4597")
(4645,"4645")
(4700,"4700")
(4815,"4815")
(4967,"4967")
(5061,"5061")
(5124,"5124")
(5242,"5242")
(5248,"5248")
(5289,"5289")
(5294,"5294")
(5386,"5386")
(5506,"5506")
(5662,"5662")
(5864,"5864")
(5904,"5904")
(5990,"5990")
(6221,"6221")
(6313,"6313")
(6466,"6466")
(6555,"6555")
(6792,"6792")
(7004,"7004")
(7268,"7268")
(7462,"7462")
(7717,"7717")
(7765,"7765")
(7864,"7864")
(7962,"7962")
(8019,"8019")
(8061,"8061")
(8121,"8121")
(8179,"8179")
(8772,"8772")
(8936,"8936")
(9001,"9001")
(9252,"9252")
(9256,"9256")
(9325,"9325")
(9488,"9488")
(9595,"9595")
(9611,"9611")
(9618,"9618")
(9680,"9680")
(9818,"9818")
(9865,"9865")
(9927,"9927")
